length,gravid,zebra,month,weight
70.5,n,n,k,-1.094289163
69.5,n,n,k,0.004517191
72.5,y,y,k,-0.042077728
61,n,n,k,-0.865603741
62,n,n,k,0.685894245
62.5,n,n,k,0.488458607
59.5,n,y,k,0.181551168
63.5,n,n,k,0.077109641
63,n,n,k,-0.526462362
59.5,n,n,k,0.205551168
58.5,n,n,k,-0.043825033
60,n,n,k,0.93821707
58,n,n,k,-0.131492075
55.5,y,n,k,0.278247641
59,y,n,k,-0.712470077
58.5,n,n,k,-0.248825033
57.5,n,n,k,-0.278449588
58.5,n,n,k,-1.272825033
52.5,n,n,k,0.066748117
53.5,n,n,k,-0.845975851
55.5,n,n,k,-0.188752359
53.5,n,n,k,-0.432975851
45.5,n,n,k,-0.219539351
48.5,n,n,k,-0.114770467
38.5,n,n,k,0.036487289
38.5,n,n,k,-0.059512711
84.5,n,y,l,-2.243230791
69.5,n,n,l,-1.547482809
80.5,n,n,l,0.220440729
80,y,n,l,-0.208926812
77.5,n,n,l,-0.750065362
65.5,n,y,l,-0.350106814
83.5,n,n,l,0.190180158
65,n,n,l,-0.24343359
85.5,n,n,l,2.927569538
68.5,n,n,l,-1.407835706
73.5,y,n,l,0.781590709
75.5,n,n,l,-0.462821249
69.5,n,n,l,-0.065482809
79,n,n,l,-0.563387897
82,n,y,l,-0.578172177
63.5,n,y,l,-1.137890359
79.5,n,n,l,-0.602543671
78.5,y,n,l,-0.595437545
72,n,y,l,0.030195968
77.5,n,n,l,-0.764065362
74.5,n,n,l,1.418401193
82,n,n,l,-2.891172177
75.5,n,n,l,1.133178751
66.5,n,n,l,-0.252321892
68,n,n,l,-0.017142378
72,n,n,l,-0.298804032
76,n,n,l,0.967000474
70,n,n,l,0.070519824
58.5,n,n,l,-0.571825033
71.5,n,n,l,-0.298429264
62.5,n,n,l,-0.737541393
61.5,y,n,l,-1.112133764
73.5,n,y,l,-1.506409291
69.5,n,n,l,-0.052482809
70.5,n,n,l,0.017710837
75,n,n,l,-0.155694972
64.5,n,n,l,0.577645743
65.5,y,n,l,-0.897106814
62.5,n,y,l,2.176458607
62,n,y,l,-0.217105755
61.5,n,n,l,1.103866236
66.5,n,n,l,-0.171321892
66,n,n,l,-0.698395667
64,n,n,l,-0.036847086
54.5,n,n,l,0.222914749
57.5,n,n,l,-0.460449588
67.5,n,n,l,0.305826517
60.5,y,n,l,0.163505984
58.5,n,n,l,0.345174967
53.5,n,n,l,0.531024149
53.5,n,n,l,-0.500975851
51.5,n,n,l,-0.454741231
49.5,n,y,l,0.146327774
51,n,n,l,0.089487844
47,n,n,l,0.502523494
50.5,n,n,l,-0.309271941
43.5,n,n,l,1.207263348
47.5,n,n,l,-0.247395218
54,n,n,l,0.054528392
39.5,n,n,l,-0.129834043
